"DEPCOM","millesime","nb_logt_total","nb_ls_actif","nb_ls_qpv","nb_ls_coll","nb_ls_ind","nb_ls_etu","nb_ls_loue","nb_ls_vacant","nb_ls_vacant_3","nb_ls_vide","nb_ls_association","nb_ls_autre","num_mob","denom_mob","nb_mes","nb_ls_age_0_5","nb_ls_age_5_10","nb_ls_age_10_20","nb_ls_age_20_40","nb_ls_age_40_60","nb_ls_age_60_plus","nb_ls_dpe_realise","nb_ls_dpe_new_ener_A","nb_ls_dpe_new_ener_B","nb_ls_dpe_new_ener_C","nb_ls_dpe_new_ener_D","nb_ls_dpe_new_ener_E","nb_ls_dpe_new_ener_F","nb_ls_dpe_new_ener_G","somme_loyer","somme_surface"
"31403",2025,29,29,0,26,3,0,29,0,0,0,0,0,1,29,0,0,0,0,29,0,0,29,0,0,18,3,5,2,0,10999,1721
"31407",2025,7,7,0,3,4,0,6,0,0,1,0,0,1,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2107,290
"31409",2025,108,108,0,108,0,0,106,2,0,0,0,0,11,108,0,0,51,57,0,0,0,57,0,0,5,2,0,0,0,49214,6310
"31410",2025,220,220,0,173,47,0,208,6,3,6,0,0,10,210,4,28,47,80,43,18,4,195,2,3,71,12,1,0,0,97142,13767
"31411",2025,17,17,0,0,17,0,17,0,0,0,0,0,1,17,0,0,9,8,0,0,0,17,0,0,4,2,0,0,0,9710,1254
"31412",2025,22,22,0,0,22,0,20,1,1,1,0,0,2,21,0,0,0,10,12,0,0,22,0,0,0,5,1,0,0,9088,1440
"31416",2025,5,5,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,1,4,0,0,1559,283
"31417",2025,540,519,0,369,150,0,494,5,1,19,1,0,44,421,78,201,89,98,70,19,42,462,26,103,54,42,1,0,0,240465,33036
"31418",2025,13,13,0,13,0,0,13,0,0,0,0,0,2,13,0,8,0,5,0,0,0,13,0,8,1,3,1,0,0,6716,915
"31420",2025,129,129,0,123,6,0,127,1,0,0,1,0,7,128,0,36,0,50,26,0,17,126,24,12,1,15,12,0,0,57425,7590
